iter	Logloss
195	0.2010527214
196	0.2010118048
197	0.2010032949
198	0.2009763608
199	0.2009476495
200	0.2009219956
201	0.2008914929
202	0.20087346
203	0.200861153
204	0.2008307499
205	0.2008262988
206	0.20081743
207	0.2007965974
208	0.2007692351
209	0.2007540559
210	0.2007333389
211	0.2007202278
212	0.2007005434
213	0.2006588585
214	0.2006369377
215	0.2006299476
216	0.2006216563
217	0.2006135381
218	0.2006081316
219	0.2005819858
220	0.2005626254
221	0.2005382523
222	0.200509972
223	0.2005044845
224	0.2004760854
225	0.2004710371
226	0.2004510222
227	0.2004344714
228	0.2004195444
229	0.2004014571
230	0.2003846561
231	0.2003772558
232	0.2003634167
233	0.2003414874
234	0.2003374066
235	0.2003259122
236	0.2002980817
237	0.2002799115
238	0.2002563128
239	0.2002224561
240	0.2001857857
241	0.2001582429
242	0.2001226552
243	0.2001137089
244	0.2000864804
245	0.2000787205
246	0.2000636108
247	0.2000445188
248	0.2000123184
249	0.2000017359
250	0.1999772864
251	0.1999729107
252	0.1999638827
253	0.199939419
254	0.1999240111
255	0.1999153856
256	0.199910905
257	0.1998937584
258	0.199873196
259	0.1998415924
260	0.1998234955
261	0.1998145331
262	0.1997993043
263	0.1997879451
264	0.1997727098
265	0.1997581989
266	0.199738879
267	0.1997289346
268	0.199710322
269	0.1996819842
270	0.1996524229
271	0.1996425089
272	0.1996308752
273	0.1996227905
274	0.1996112798
275	0.1995970291
276	0.1995839878
277	0.199572226
278	0.1995533604
279	0.1995511469
280	0.1995467663
281	0.1995276889
282	0.1995214436
283	0.1995016137
284	0.1994923154
285	0.1994834486
286	0.1994517343
287	0.1994378133
288	0.1994269514
289	0.1994112425
290	0.1994015566
291	0.1993863544
292	0.1993715188
293	0.1993556434
294	0.1993423707
295	0.1993316945
296	0.1993242409
297	0.1993137905
298	0.1993046892
299	0.1992974729
300	0.1992808467
301	0.1992694904
302	0.1992619877
303	0.199256286
304	0.1992437137
305	0.1992341108
306	0.1992277425
307	0.1992143868
308	0.1992039066
309	0.1992005111
310	0.1991783811
311	0.1991580739
312	0.1991471378
313	0.1991414329
314	0.199125954
315	0.1991139952
316	0.199103689
317	0.1990885937
318	0.1990829692
319	0.1990555915
320	0.1990366362
321	0.1990340554
322	0.1990133049
323	0.1989998551
324	0.1989936735
325	0.1989747632
326	0.1989626641
327	0.1989564346
328	0.1989355446
329	0.1989258519
330	0.1989093301
331	0.1988903908
332	0.1988801099
333	0.1988643219
334	0.1988483226
335	0.1988322351
336	0.1988249622
337	0.1988152906
338	0.1988097495
339	0.1987946226
340	0.1987812727
341	0.1987675087
342	0.1987521296
343	0.1987336958
344	0.198719506
345	0.1987056095
346	0.1986989162
347	0.1986844859
348	0.1986793237
349	0.1986692411
